user,url,id,desc,music,likes,comments,shares,views,date,challenges,duration
gavingoodale,https://m.tiktok.com/v/7257289389733203242,7257289389733203242,#fyp #cleartails #clear #cleartheworld #blowup #jetta #volkswagen #florida #rain ,original sound,2300000,5193,19900,24000000,2023-07-18 22:29:28+00:00,"cleartails, rain, clear, volkswagen, jetta, blowup, florida, cleartheworld, fyp",12
smokeyyytdi,https://m.tiktok.com/v/6941499429677518085,6941499429677518085,Who else cleans the inside of their exhaust?😂   #fyp #foryoupage #xyzbca #foryou #car #fy #tiktok #diesel #tdi #jetta #exhaust #turbo #volkswagen,original sound,1300000,11200,37100,12000000,2021-03-19 22:43:03+00:00,"diesel, xyzbca, foryoupage, car, jetta, turbo, volkswagen, exhaust, fy, foryou, tiktok, fyp, tdi",42
ckargarage,https://m.tiktok.com/v/7126633386738748677,7126633386738748677,"Ckar Garage no YouTube, segue lá...🤟🏻🤟🏻#jetta#jettarline#jettagli#jettamk#volkswagen#vw#virtus#polo#adrenalinabycs#ckargarage @ckargarage",som original,1100000,7415,66200,11100000,2022-07-31 20:17:21+00:00,"jetta, jettamk, virtus, ckargarage, polo, jettarline, vw, jettagli, adrenalinabycs, volkswagen",56
miuwnutz,https://m.tiktok.com/v/6867948476538293506,6867948476538293506,Volkswagen #JETTA #SCİROCCO #KEŞFET,Alone,642100,763,1618,15800000,2020-09-02 17:47:51+00:00,"jetta, keşfet, sci̇rocco",27
ilo_333,https://m.tiktok.com/v/7234789969426992390,7234789969426992390,#jetta #skoda #jettamk6 #rec #fypシ #skodaoctaviaa5 #mk6 #octaviaa5 #recommendations #джетта #шкода #шкодаоктавия #джетта6 #рекомендации #vag #video #дніпро #fypage #fyp #car #cartok #marryme #marry #funnyvideos #videoviral #video #videos #октавияа5 #viraltiktok #viral #tiktok #fypシ゚viral #dnepr #харьков #харків #украина #ukraine #kharkiv #dniprocity #dnipro #днепр #etuners #skodamotor #skodamotorsport #vagclub ,original sound - m_chahap,579000,2000,4737,5900000,2023-05-19 07:20:08+00:00,"marryme, fypage, marry, jettamk6, skodamotorsport, funnyvideos, ukraine, cartok, украина, recommendations, car, kharkiv, dnepr, dnipro, rec, дніпро, tiktok, etuners, vag, fyp, skodamotor, octaviaa5, jetta, харків, джетта6, джетта, fypシ゚viral, videos, vagclub, шкода, skoda, шкодаоктавия, videoviral, viral, харьков, рекомендации, dniprocity, viraltiktok, video, skodaoctaviaa5, днепр, mk6, октавияа5, fypシ",16
paulbpa1,https://m.tiktok.com/v/6918292109002951941,6918292109002951941,#vw #jetta #nice #wow #interstate #fyp 👍👍👍,original sound - Lumia,548600,2553,44400,8700000,2021-01-16 09:47:44+00:00,"wow, fyp, interstate, vw, jetta, nice",9
smokeyyytdi,https://m.tiktok.com/v/6929849553915104517,6929849553915104517,"Semi truck status 😭😂 LMK what to do next, gonna make this a series #fyp #diesel #car #foryoupage #xyzbca #tdi #turbo #jetta #tiktok #exhaust #foryou",original sound,540900,3651,34500,3800000,2021-02-16 13:15:51+00:00,"tdi, tiktok, foryou, turbo, xyzbca, jetta, diesel, foryoupage, exhaust, fyp, car",56
elbandolero93,https://m.tiktok.com/v/6926434117949082886,6926434117949082886,#jetta #vag #volkswagen #chinese #tunerlifestyle #car #fyp #foryoupage #auto,Originalton,531000,2611,32300,7200000,2021-02-07 08:22:29+00:00,"jetta, tunerlifestyle, fyp, chinese, auto, volkswagen, foryoupage, vag, car",59
alequisikkk,https://m.tiktok.com/v/7254717387818257669,7254717387818257669,#fy #jetta #jettatsi #carrosesportivos #jetteiros  a famosa pantera negra 🖤,Na Contramão,516400,0,4540,2900000,2023-07-12 00:08:43+00:00,"fy, jetta, jettatsi, carrosesportivos, jetteiros",14
itssjettaa,https://m.tiktok.com/v/6872102637806914822,6872102637806914822,Think he’ll let me slide after this 🤧#foryou #fyp #jetta #foryourpage,original sound,502300,6860,8698,2500000,2020-09-13 22:28:13+00:00,"jetta, foryourpage, foryou, fyp",6
